电影名,国家,导演及主演,年份,评分,引言,链接,类型
东邪西毒,中国,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte...,                            1994,8.6,电影诗。,https://movie.douban.com/subject/1292328/,剧情动作爱情武侠古装
恐怖游轮,英国 澳大利亚,导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...,                            2009,8.5,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/,剧情悬疑惊悚
牯岭街少年杀人事件,中国,导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...,                            1991,8.9,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/,剧情犯罪
魔女宅急便,日本,导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...,                            1989,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/,动画奇幻冒险
遗愿清单,美国,导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...,                            2007,8.7,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/,冒险喜剧剧情
东京教父,日本,导演:今敏SatoshiKon   主演:江守彻ToruEmori/梅垣义明YoshiakiUme...,                            2003,9.0,,https://movie.douban.com/subject/1310177/,剧情喜剧动画
你看起来好像很好吃,日本,导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河...,                            2010,8.9,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/,剧情动画儿童
真爱至上,英国 美国 法国,导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...,                            2003,8.6,爱，是个动词。,https://movie.douban.com/subject/1292401/,喜剧剧情爱情
大佛普拉斯,中国,导演:黄信尧Hsin-yaoHuang   主演:庄益增YizengZhuang/陈竹昇Chu-sh...,                            2017,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/,剧情喜剧
黑天鹅,美国,导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...,                            2010,8.6,黑暗之美。,https://movie.douban.com/subject/1978709/,剧情惊悚
可可西里,中国,导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,                            2004,8.9,坚硬的信仰。,https://movie.douban.com/subject/1308857/,剧情犯罪
城市之光,美国,导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,                            1931,9.3,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/,喜剧剧情爱情
源代码,美国 加拿大,导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...,                            2011,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/,科幻悬疑惊悚
雨人,美国,导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...,                            1988,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/,剧情
恋恋笔记本,美国,导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...,                            2004,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/,剧情爱情
海边的曼彻斯特,美国,导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...,                            2016,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/,剧情家庭
初恋这件小事,泰国,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,                            2010,8.5,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/,剧情喜剧爱情
人工智能,美国 英国,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...,                            2001,8.7,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/,剧情科幻
